date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:38:05	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Jun%202023%2019:38:00%20GMT	https://creativelayers.net/robots.txt		(from )
23:38:06	1120615/1120615	---M-Z	200	added ('OK')	text/html	etag:%225fe25b2-111967-5f5afed3b7a83-gzip%22	https://creativelayers.net/themes/gotrip-html/home-3.html	C:/Users/99450/Desktop/Travel/travell/creativelayers.net/themes/gotrip-html/home-3.html	(from )
23:38:07	96925/96925	---M-Z	200	added ('OK')	text/css	etag:%225fe25d0-17a9d-5f5afeddc3fc9-gzip%22	https://creativelayers.net/themes/gotrip-html/css/vendors.css	C:/Users/99450/Desktop/Travel/travell/creativelayers.net/themes/gotrip-html/css/vendors.css	(from https://creativelayers.net/themes/gotrip-html/home-3.html)
23:38:07	211620/211620	---M-Z	200	added ('OK')	text/css	etag:%225fe25cf-33aa4-5f5afeddcb8e2-gzip%22	https://creativelayers.net/themes/gotrip-html/css/main.css	C:/Users/99450/Desktop/Travel/travell/creativelayers.net/themes/gotrip-html/css/main.css	(from https://creativelayers.net/themes/gotrip-html/home-3.html)
23:38:07	6547/6547	---M--	200	added ('OK')	image/svg+xml	etag:%225fe2756-1993-5f5afeedc4092%22	https://creativelayers.net/themes/gotrip-html/img/general/logo-dark.svg	C:/Users/99450/Desktop/Travel/travell/creativelayers.net/themes/gotrip-html/img/general/logo-dark.svg	(from https://creativelayers.net/themes/gotrip-html/home-3.html)
23:38:08	1056917/1056917	---M-Z	200	added ('OK')	text/html	etag:%225fe25c1-102095-5f5afed98ba33-gzip%22	https://creativelayers.net/themes/gotrip-html/index.html	C:/Users/99450/Desktop/Travel/travell/creativelayers.net/themes/gotrip-html/index.html	(from https://creativelayers.net/themes/gotrip-html/home-3.html)
23:38:08	301081/301081	---M-Z	200	added ('OK')	text/html	etag:%225fe25b1-49819-5f5afed31358a-gzip%22	https://creativelayers.net/themes/gotrip-html/home-2.html	C:/Users/99450/Desktop/Travel/travell/creativelayers.net/themes/gotrip-html/home-2.html	(from https://creativelayers.net/themes/gotrip-html/home-3.html)
23:38:09	599235/599235	---M-Z	200	added ('OK')	text/html	etag:%225fe25b3-924c3-5f5afed3eaaf0-gzip%22	https://creativelayers.net/themes/gotrip-html/home-4.html	C:/Users/99450/Desktop/Travel/travell/creativelayers.net/themes/gotrip-html/home-4.html	(from https://creativelayers.net/themes/gotrip-html/home-3.html)
23:38:09	278336/278336	---M-Z	200	added ('OK')	text/html	etag:%225fe25b4-43f40-5f5afed465005-gzip%22	https://creativelayers.net/themes/gotrip-html/home-5.html	C:/Users/99450/Desktop/Travel/travell/creativelayers.net/themes/gotrip-html/home-5.html	(from https://creativelayers.net/themes/gotrip-html/home-3.html)
23:38:09	255328/255328	---M-Z	200	added ('OK')	text/html	etag:%225fe25b5-3e560-5f5afed489610-gzip%22	https://creativelayers.net/themes/gotrip-html/home-6.html	C:/Users/99450/Desktop/Travel/travell/creativelayers.net/themes/gotrip-html/home-6.html	(from https://creativelayers.net/themes/gotrip-html/home-3.html)
